t,z,thrust,z_ref
2.252,0.52179,19.596,0.55
2.256,0.52183,19.596,0.55
2.26,0.52186,19.596,0.55
2.264,0.52189,19.596,0.55
2.268,0.52192,19.596,0.55
2.272,0.52195,19.596,0.55
2.276,0.52198,19.596,0.55
2.28,0.52201,19.596,0.55
2.284,0.52204,19.596,0.55
2.288,0.52208,19.596,0.55
2.292,0.52211,19.596,0.55
2.296,0.52214,19.596,0.55
2.3,0.52217,19.596,0.55
2.304,0.5222,19.596,0.55
2.308,0.52223,19.596,0.55
2.312,0.52226,19.596,0.55
2.316,0.52229,19.596,0.55
2.32,0.52232,19.596,0.55
2.324,0.52236,19.596,0.55
2.328,0.52239,19.596,0.55
2.332,0.52242,19.596,0.55
2.336,0.52245,19.596,0.55
2.34,0.52248,19.596,0.55
2.344,0.52251,19.596,0.55
2.348,0.52254,19.596,0.55
2.352,0.52257,19.596,0.55
2.356,0.5226,19.596,0.55
2.36,0.52263,19.596,0.55
2.364,0.52266,19.596,0.55
2.368,0.52269,19.596,0.55
2.372,0.52272,19.596,0.55
2.376,0.52275,19.596,0.55
2.38,0.52278,19.596,0.55
2.384,0.52282,19.596,0.55
2.388,0.52285,19.596,0.55
2.392,0.52288,19.596,0.55
2.396,0.52291,19.596,0.55
2.4,0.52294,19.596,0.55
2.404,0.52297,19.596,0.55
2.408,0.523,19.596,0.55
2.412,0.52303,19.596,0.55
2.416,0.52306,19.596,0.55
2.42,0.52309,19.596,0.55
2.424,0.52312,19.596,0.55
2.428,0.52315,19.596,0.55
2.432,0.52318,19.596,0.55
2.436,0.52321,19.596,0.55
2.44,0.52324,19.596,0.55
2.444,0.52327,19.596,0.55
2.448,0.5233,19.596,0.55
2.452,0.52333,19.596,0.55
2.456,0.52336,19.596,0.55
2.46,0.52339,19.596,0.55
2.464,0.52342,19.596,0.55
2.468,0.52345,19.596,0.55
2.472,0.52348,19.596,0.55
2.476,0.52351,19.596,0.55
2.48,0.52353,19.596,0.55
2.484,0.52356,19.596,0.55
2.488,0.52359,19.596,0.55
2.492,0.52362,19.596,0.55
2.496,0.52365,19.596,0.55
2.5,0.52368,19.596,0.55
2.504,0.52371,19.596,0.55
2.508,0.52374,19.596,0.55
2.512,0.52377,19.596,0.55
2.516,0.5238,19.596,0.55
2.52,0.52383,19.596,0.55
2.524,0.52386,19.596,0.55
2.528,0.52389,19.596,0.55
2.532,0.52392,19.596,0.55
2.536,0.52395,19.596,0.55
2.54,0.52397,19.596,0.55
2.544,0.524,19.596,0.55
2.548,0.52403,19.596,0.55
2.552,0.52406,19.596,0.55
2.556,0.52409,19.596,0.55
2.56,0.52412,19.596,0.55
2.564,0.52415,19.596,0.55
2.568,0.52418,19.596,0.55
2.572,0.52421,19.596,0.55
2.576,0.52424,19.596,0.55
2.58,0.52426,19.596,0.55
2.584,0.52429,19.596,0.55
2.588,0.52432,19.596,0.55
2.592,0.52435,19.596,0.55
2.596,0.52438,19.596,0.55
2.6,0.52441,19.596,0.55
2.604,0.52444,19.596,0.55
2.608,0.52446,19.596,0.55
2.612,0.52449,19.596,0.55
2.616,0.52452,19.596,0.55
2.62,0.52455,19.596,0.55
2.624,0.52458,19.596,0.55
2.628,0.52461,19.596,0.55
2.632,0.52464,19.596,0.55
2.636,0.52466,19.596,0.55
2.64,0.52469,19.596,0.55
2.644,0.52472,19.596,0.55
2.648,0.52475,19.596,0.55
2.652,0.52478,19.596,0.55
2.656,0.52481,19.596,0.55
2.66,0.52483,19.596,0.55
2.664,0.52486,19.596,0.55
2.668,0.52489,19.596,0.55
2.672,0.52492,19.596,0.55
2.676,0.52495,19.596,0.55
2.68,0.52497,19.596,0.55
2.684,0.525,19.596,0.55
2.688,0.52503,19.596,0.55
2.692,0.52506,19.596,0.55
2.696,0.52509,19.596,0.55
2.7,0.52511,19.596,0.55
2.704,0.52514,19.596,0.55
2.708,0.52517,19.596,0.55
2.712,0.5252,19.596,0.55
2.716,0.52522,19.596,0.55
2.72,0.52525,19.596,0.55
2.724,0.52528,19.596,0.55
2.728,0.52531,19.596,0.55
2.732,0.52533,19.596,0.55
2.736,0.52536,19.596,0.55
2.74,0.52539,19.596,0.55
2.744,0.52542,19.596,0.55
2.748,0.52544,19.596,0.55
2.752,0.52547,19.596,0.55
2.756,0.5255,19.596,0.55
2.76,0.52553,19.596,0.55
2.764,0.52555,19.596,0.55
2.768,0.52558,19.596,0.55
2.772,0.52561,19.596,0.55
2.776,0.52564,19.596,0.55
2.78,0.52566,19.596,0.55
2.784,0.52569,19.596,0.55
2.788,0.52572,19.596,0.55
2.792,0.52574,19.596,0.55
2.796,0.52577,19.596,0.55
2.8,0.5258,19.596,0.55
2.804,0.52583,19.596,0.55
2.808,0.52585,19.596,0.55
2.812,0.52588,19.596,0.55
2.816,0.52591,19.596,0.55
2.82,0.52593,19.596,0.55
2.824,0.52596,19.596,0.55
2.828,0.52599,19.596,0.55
2.832,0.52601,19.596,0.55
2.836,0.52604,19.596,0.55
2.84,0.52607,19.596,0.55
2.844,0.52609,19.596,0.55
2.848,0.52612,19.596,0.55
2.852,0.52615,19.596,0.55
2.856,0.52617,19.596,0.55
2.86,0.5262,19.596,0.55
2.864,0.52623,19.596,0.55
2.868,0.52625,19.596,0.55
2.872,0.52628,19.596,0.55
2.876,0.52631,19.596,0.55
2.88,0.52633,19.596,0.55
2.884,0.52636,19.596,0.55
2.888,0.52639,19.596,0.55
2.892,0.52641,19.596,0.55
2.896,0.52644,19.596,0.55
2.9,0.52647,19.596,0.55
2.904,0.52649,19.596,0.55
2.908,0.52652,19.596,0.55
2.912,0.52654,19.596,0.55
2.916,0.52657,19.596,0.55
2.92,0.5266,19.596,0.55
2.924,0.52662,19.596,0.55
2.928,0.52665,19.596,0.55
2.932,0.52668,19.596,0.55
2.936,0.5267,19.596,0.55
2.94,0.52673,19.596,0.55
2.944,0.52675,19.596,0.55
2.948,0.52678,19.596,0.55
2.952,0.52681,19.596,0.55
2.956,0.52683,19.596,0.55
2.96,0.52686,19.596,0.55
2.964,0.52688,19.596,0.55
2.968,0.52691,19.596,0.55
2.972,0.52693,19.596,0.55
2.976,0.52696,19.596,0.55
2.98,0.52699,19.596,0.55
2.984,0.52701,19.596,0.55
2.988,0.52704,19.596,0.55
2.992,0.52706,19.596,0.55
2.996,0.52709,19.596,0.55
3,0.52711,19.596,0.55
3.004,0.52714,19.596,0.55
3.008,0.52717,19.596,0.55
3.012,0.52719,19.596,0.55
3.016,0.52722,19.596,0.55
3.02,0.52724,19.596,0.55
3.024,0.52727,19.596,0.55
3.028,0.52729,19.596,0.55
3.032,0.52732,19.596,0.55
3.036,0.52734,19.596,0.55
3.04,0.52737,19.596,0.55
3.044,0.52739,19.596,0.55
3.048,0.52742,19.596,0.55
3.052,0.52744,19.596,0.55
3.056,0.52747,19.596,0.55
3.06,0.5275,19.596,0.55
3.064,0.52752,19.596,0.55
3.068,0.52755,19.596,0.55
3.072,0.52757,19.596,0.55
3.076,0.5276,19.597,0.55
3.08,0.52762,19.597,0.55
3.084,0.52765,19.597,0.55
3.088,0.52767,19.597,0.55
3.092,0.5277,19.597,0.55
3.096,0.52772,19.597,0.55
3.1,0.52775,19.597,0.55
3.104,0.52777,19.597,0.55
3.108,0.52779,19.597,0.55
3.112,0.52782,19.597,0.55
3.116,0.52784,19.597,0.55
3.12,0.52787,19.597,0.55
3.124,0.52789,19.597,0.55
3.128,0.52792,19.597,0.55
3.132,0.52794,19.597,0.55
3.136,0.52797,19.597,0.55
3.14,0.52799,19.597,0.55
3.144,0.52802,19.597,0.55
3.148,0.52804,19.597,0.55
3.152,0.52807,19.597,0.55
3.156,0.52809,19.597,0.55
3.16,0.52812,19.597,0.55
3.164,0.52814,19.597,0.55
3.168,0.52816,19.597,0.55
3.172,0.52819,19.597,0.55
3.176,0.52821,19.597,0.55
3.18,0.52824,19.597,0.55
3.184,0.52826,19.597,0.55
3.188,0.52829,19.597,0.55
3.192,0.52831,19.597,0.55
3.196,0.52833,19.597,0.55
3.2,0.52836,19.597,0.55
3.204,0.52838,19.597,0.55
3.208,0.52841,19.597,0.55
3.212,0.52843,19.597,0.55
3.216,0.52846,19.597,0.55
3.22,0.52848,19.597,0.55
3.224,0.5285,19.597,0.55
3.228,0.52853,19.597,0.55
